Employee Name,Emplyment No.,Designation,Reports To,Emplyment No.
Rajesh Gupta,50018,Station Controller,Sanjay Bhatia,40004
Chandni Tripathi,50019,Station Controller,Sanjay Bhatia,40004
Lokesh Menon,50020,Station Controller,Sanjay Bhatia,40004
Sanjay Kumar,50021,Station Controller,Tanmay Bhatia,40005
Manish Jain,50022,Station Controller,Tanmay Bhatia,40005
Madhuri Menon,50023,Station Controller,Tanmay Bhatia,40005
Manish Bhatia,50024,Station Controller,Tanmay Bhatia,40005
Divya Chopra,50025,Station Controller,Tanmay Bhatia,40005
Madhuri Singh,50026,Station Controller,Vikas Mathur,40006
Chetan Nair,50027,Station Controller,Vikas Mathur,40006
Akshay Mehta,50028,Station Controller,Vikas Mathur,40006
Vikram Goyal,50029,Station Controller,Vikas Mathur,40006
Sunil Singh,50030,Station Controller,Vikas Mathur,40006
Geeta Joshi,50031,Station Controller,Shreya Kashyap,40007
Sneha Kashyap,50032,Station Controller,Shreya Kashyap,40007
Aarav Tripathi,50033,Station Controller,Shreya Kashyap,40007
Abhishek Bansal,50034,Station Controller,Shreya Kashyap,40007
Amit Mathur,50035,Station Controller,Shreya Kashyap,40007
Pradeep Yadav,50036,Station Controller,Sandeep Gupta,40008
Karan Gupta,50037,Station Controller,Sandeep Gupta,40008
Shivam Kashyap,50038,Station Controller,Sandeep Gupta,40008
Pradeep Mehta,50039,Station Controller,Sandeep Gupta,40008
Monika Mishra,50040,Station Controller,Sandeep Gupta,40008
Amit Singh,50041,Station Controller,Rakesh Bansal,40009
Pankaj Rastogi,50042,Station Controller,Rakesh Bansal,40009
Ayush Joshi,50043,Station Controller,Rakesh Bansal,40009
Reena Sinha,50044,Station Controller,Rakesh Bansal,40009
Komal Agarwal,50045,Station Controller,Rakesh Bansal,40009
Aditi Khanna,50046,Station Controller,Nikhil Dubey,40010
Kavita Tiwari,50047,Station Controller,Nikhil Dubey,40010
Dev Singh,50048,Station Controller,Nikhil Dubey,40010
Manish Sinha,50049,Station Controller,Nikhil Dubey,40010
Sameer Saxena,50050,Station Controller,Nikhil Dubey,40010
Ananya Rana,50051,Station Controller,Lokesh Kapoor,40011
Vikram Agarwal,50052,Station Controller,Lokesh Kapoor,40011
Deepak Bhatia,50053,Station Controller,Lokesh Kapoor,40011
Manish Malhotra,50054,Station Controller,Lokesh Kapoor,40011
Akshay Joshi,50055,Station Controller,Lokesh Kapoor,40011
Aditi Kapoor,50056,Station Controller,Ayush Tiwari,40012
Naveen Tiwari,50057,Station Controller,Ayush Tiwari,40012
Prakash Yadav,50058,Station Controller,Ayush Tiwari,40012
Shreya Rastogi,50059,Station Controller,Ayush Tiwari,40012
Bhavna Mishra,50060,Station Controller,Ayush Tiwari,40012
Rahul Joshi,50061,Station Controller,Pankaj Kapoor,40013
Deepika Sharma,50062,Station Controller,Pankaj Kapoor,40013
Divya Tripathi,50063,Station Controller,Pankaj Kapoor,40013
Sonal Goel,50064,Station Controller,Pankaj Kapoor,40013
Naveen Kapoor,50065,Station Controller,Pankaj Kapoor,40013
Pradeep Jain,50066,Station Controller,Jyoti Khanna,40014
Karan Menon,50067,Station Controller,Jyoti Khanna,40014
Ravi Tripathi,50068,Station Controller,Jyoti Khanna,40014
Vinay Joshi,50069,Station Controller,Jyoti Khanna,40014
Aditya Shukla,50070,Station Controller,Jyoti Khanna,40014
Manoj Dubey,50071,Station Controller,Rahul Verma,40015
Ayush Kumar,50072,Station Controller,Rahul Verma,40015
Sandeep Mehta,50073,Station Controller,Rahul Verma,40015
Aniket Sharma,50074,Station Controller,Rahul Verma,40015
Nidhi Verma,50075,Station Controller,Rahul Verma,40015
Pallavi Kumar,50076,Station Controller,Pallavi Iyer,40016
Rohit Bhatia,50077,Station Controller,Pallavi Iyer,40016
Monika Malhotra,50078,Station Controller,Pallavi Iyer,40016
Payal Pandey,50079,Station Controller,Pallavi Iyer,40016
Vivek Menon,50080,Station Controller,Pallavi Iyer,40016
Amrita Kapoor,50081,Station Controller,Sanjay Tripathi,40017
Madhuri Nair,50082,Station Controller,Sanjay Tripathi,40017
Rohit Gupta,50083,Station Controller,Sanjay Tripathi,40017
Pooja Srivastava,50084,Station Controller,Sanjay Tripathi,40017
Rohit Malhotra,50085,Station Controller,Sanjay Tripathi,40017
Vikas Bansal,50086,Station Controller,Aniket Malhotra,40018
Sachin Tripathi,50087,Station Controller,Aniket Malhotra,40018
Deepika Agarwal,50088,Station Controller,Aniket Malhotra,40018
Divya Pandey,50089,Station Controller,Aniket Malhotra,40018
Kavita Kumar,50090,Station Controller,Aniket Malhotra,40018
Lokesh Bhatia,50091,Station Controller,Hemant Rastogi,40019
Lakshmi Rana,50092,Station Controller,Hemant Rastogi,40019
Arpita Khanna,50093,Station Controller,Hemant Rastogi,40019
Vikas Khanna,50094,Station Controller,Hemant Rastogi,40019
Reena Yadav,50095,Station Controller,Hemant Rastogi,40019
Akash Rana,50096,Station Controller,Sanjay Kapoor,40020
Ramesh Agarwal,50097,Station Controller,Sanjay Kapoor,40020
Sameer Khanna,50098,Station Controller,Sanjay Kapoor,40020
Nidhi Joshi,50099,Station Controller,Sanjay Kapoor,40020
Bharat Mittal,50100,Station Controller,Sanjay Kapoor,40020
Sonal Kashyap,50101,Station Controller,Geeta Iyer,40021
Rajesh Tiwari,50102,Station Controller,Geeta Iyer,40021
Bhavna Shukla,50103,Station Controller,Geeta Iyer,40021
Yash Goyal,50104,Station Controller,Geeta Iyer,40021
Akash Chopra,50105,Station Controller,Geeta Iyer,40021
Pragya Mehta,50106,Station Controller,Aarav Kumar,40022
Madhuri Verma,50107,Station Controller,Aarav Kumar,40022
Priya Sharma,50108,Station Controller,Aarav Kumar,40022
Vikram Arora,50109,Station Controller,Aarav Kumar,40022
Sachin Bansal,50110,Station Controller,Aarav Kumar,40022
Aditi Shukla,50111,Station Controller,Zoya Rastogi,40023
Bharat Saxena,50112,Station Controller,Zoya Rastogi,40023
Vikram Yadav,50113,Station Controller,Zoya Rastogi,40023
Abhishek Sinha,50114,Station Controller,Zoya Rastogi,40023
Sonal Kumar,50115,Station Controller,Zoya Rastogi,40023
Nandini Khanna,50116,Station Controller,Neeraj Rastogi,40024
Komal Shukla,50117,Station Controller,Neeraj Rastogi,40024
Aniket Rastogi,50118,Station Controller,Neeraj Rastogi,40024
Ayush Goyal,50119,Station Controller,Neeraj Rastogi,40024
Dinesh Menon,50120,Station Controller,Neeraj Rastogi,40024
Geeta Mehta,50121,Station Controller,Sakshi Gupta,40025
Arpita Iyer,50122,Station Controller,Sakshi Gupta,40025
Ananya Tripathi,50123,Station Controller,Sakshi Gupta,40025
Shivam Khanna,50124,Station Controller,Sakshi Gupta,40025
Kavita Mathur,50125,Station Controller,Sakshi Gupta,40025
Pragya Mittal,50126,Station Controller,Lokesh Bansal,40026
Neeraj Goyal,50127,Station Controller,Lokesh Bansal,40026
Rajesh Tripathi,50128,Station Controller,Lokesh Bansal,40026
Jyoti Saxena,50129,Station Controller,Lokesh Bansal,40026
Gaurav Mehta,50130,Station Controller,Lokesh Bansal,40026
Pooja Rastogi,50131,Station Controller,Ashish Menon,40027
Ashish Shukla,50132,Station Controller,Ashish Menon,40027
Ashish Tiwari,50133,Station Controller,Ashish Menon,40027
Payal Iyer,50134,Station Controller,Ashish Menon,40027
Jatin Goyal,50135,Station Controller,Ashish Menon,40027
Aarav Verma,50136,Station Controller,Dev Shukla,40028
Sandeep Saxena,50137,Station Controller,Dev Shukla,40028
Bharat Agarwal,50138,Station Controller,Dev Shukla,40028
Priya Agarwal,50139,Station Controller,Dev Shukla,40028
Sakshi Menon,50140,Station Controller,Dev Shukla,40028
Ananya Menon,50141,Station Controller,Prakash Gupta,40029
Aarav Shukla,50142,Station Controller,Prakash Gupta,40029
Nisha Kumar,50143,Station Controller,Prakash Gupta,40029
Dinesh Rana,50144,Station Controller,Prakash Gupta,40029
Naveen Chopra,50145,Station Controller,Prakash Gupta,40029
Mehul Singh,50146,Station Controller,Abhishek Khanna,40030
Arpita Goyal,50147,Station Controller,Abhishek Khanna,40030
Bharat Kumar,50148,Station Controller,Abhishek Khanna,40030
Abhishek Verma,50149,Station Controller,Abhishek Khanna,40030
Rakesh Joshi,50150,Station Controller,Abhishek Khanna,40030
Payal Dwivedi,50151,Station Controller,Varun Singh,40031
Sanjay Shukla,50152,Station Controller,Varun Singh,40031
Nisha Shukla,50153,Station Controller,Varun Singh,40031
Sourabh Mathur,50154,Station Controller,Varun Singh,40031
Rajat Chauhan,50155,Station Controller,Varun Singh,40031
Arjun Pandey,50156,Station Controller,Sandeep Shukla,40032
Varun Mishra,50157,Station Controller,Sandeep Shukla,40032
Nandini Chopra,50158,Station Controller,Sandeep Shukla,40032
Manoj Verma,50159,Station Controller,Sandeep Shukla,40032
Pragya Bhatia,50160,Station Controller,Sandeep Shukla,40032
Bhavna Rana,50161,Station Controller,Ankit Dubey,40033
Nandini Verma,50162,Station Controller,Ankit Dubey,40033
Aditya Kumar,50163,Station Controller,Ankit Dubey,40033
Kavita Iyer,50164,Station Controller,Ankit Dubey,40033
Chandni Kapoor,50165,Station Controller,Ankit Dubey,40033
Dhruv Agarwal,50166,Station Controller,Shivam Sharma,40034
Sonal Dwivedi,50167,Station Controller,Shivam Sharma,40034
Abhishek Mathur,50168,Station Controller,Shivam Sharma,40034
Neha Khanna,50169,Station Controller,Shivam Sharma,40034
Aditya Mehta,50170,Station Controller,Shivam Sharma,40034
Nikhil Rana,50171,Station Controller,Pradeep Kashyap,40035
Shreya Pandey,50172,Station Controller,Pradeep Kashyap,40035
Ananya Dubey,50173,Station Controller,Pradeep Kashyap,40035
Gaurav Yadav,50174,Station Controller,Pradeep Kashyap,40035
Sakshi Arora,50175,Station Controller,Pradeep Kashyap,40035
Lokesh Kashyap,50176,Station Controller,Arjun Verma,40036
Zoya Tiwari,50177,Station Controller,Arjun Verma,40036
Komal Sinha,50178,Station Controller,Arjun Verma,40036
Deepika Kashyap,50179,Station Controller,Arjun Verma,40036
Vivek Iyer,50180,Station Controller,Arjun Verma,40036
Aditya Tripathi,50181,Station Controller,Sourabh Goyal,40037
Payal Goyal,50182,Station Controller,Sourabh Goyal,40037
Hemant Chaudhary,50183,Station Controller,Sourabh Goyal,40037
Arpita Tripathi,50184,Station Controller,Sourabh Goyal,40037
Gaurav Mishra,50185,Station Controller,Sourabh Goyal,40037
Pragya Menon,50186,Station Controller,Sameer Menon,40038
Harish Chopra,50187,Station Controller,Sameer Menon,40038
Anjali Dwivedi,50188,Station Controller,Sameer Menon,40038
Sourabh Singh,50189,Station Controller,Sameer Menon,40038
Anjali Pandey,50190,Station Controller,Sameer Menon,40038
Akshay Chauhan,50191,Station Controller,Zoya Agarwal,40039
Nandini Goyal,50192,Station Controller,Zoya Agarwal,40039
Lokesh Goel,50193,Station Controller,Zoya Agarwal,40039
Karan Sharma,50194,Station Controller,Zoya Agarwal,40039
Ananya Joshi,50195,Station Controller,Zoya Agarwal,40039
Manoj Mehta,50196,Station Controller,Ankit Chauhan,40040
Sandeep Dubey,50197,Station Controller,Ankit Chauhan,40040
Anjali Dubey,50198,Station Controller,Ankit Chauhan,40040
Kavita Mittal,50199,Station Controller,Ankit Chauhan,40040
Mehul Shukla,50200,Station Controller,Ankit Chauhan,40040
Bharat Verma,50201,Station Controller,Monika Sharma,40041
Divya Kapoor,50202,Station Controller,Monika Sharma,40041
Akash Dwivedi,50203,Station Controller,Monika Sharma,40041
Bharat Bhatia,50204,Station Controller,Monika Sharma,40041
Vikas Kashyap,50205,Station Controller,Monika Sharma,40041
Arjun Shukla,50206,Station Controller,Ayush Bhatia,40042
Neha Dwivedi,50207,Station Controller,Ayush Bhatia,40042
Neha Rastogi,50208,Station Controller,Ayush Bhatia,40042
Vivek Gupta,50209,Station Controller,Ayush Bhatia,40042
Dev Chopra,50210,Station Controller,Ayush Bhatia,40042
Dev Yadav,50211,Station Controller,Vikram Singh,40043
Varun Sharma,50212,Station Controller,Vikram Singh,40043
Aarav Gupta,50213,Station Controller,Vikram Singh,40043
Rajesh Dwivedi,50214,Station Controller,Vikram Singh,40043
Monika Verma,50215,Station Controller,Vikram Singh,40043
Jatin Bansal,50216,Station Controller,Akshay Rana,40044
Ashish Mishra,50217,Station Controller,Akshay Rana,40044
Payal Goel,50218,Station Controller,Akshay Rana,40044
Mehul Jain,50219,Station Controller,Akshay Rana,40044
Aniket Chauhan,50220,Station Controller,Akshay Rana,40044
Deepak Mittal,50221,Station Controller,Rajat Mittal,40045
Priya Shukla,50222,Station Controller,Rajat Mittal,40045
Zoya Joshi,50223,Station Controller,Rajat Mittal,40045
Meena Kashyap,50224,Station Controller,Rajat Mittal,40045
Lokesh Singh,50225,Station Controller,Rajat Mittal,40045
Arpita Kapoor,50226,Station Controller,Nidhi Gupta,40046
Shivam Iyer,50227,Station Controller,Nidhi Gupta,40046
Ravi Srivastava,50228,Station Controller,Nidhi Gupta,40046
Rakesh Kapoor,50229,Station Controller,Nidhi Gupta,40046
Chandni Chauhan,50230,Station Controller,Nidhi Gupta,40046
Rajesh Bhatia,50231,Station Controller,Ayush Nair,40047
Nikhil Goyal,50232,Station Controller,Ayush Nair,40047
Ankit Dwivedi,50233,Station Controller,Ayush Nair,40047
Neeraj Shukla,50234,Station Controller,Ayush Nair,40047
Vinay Sinha,50235,Station Controller,Ayush Nair,40047
Meena Mathur,50236,Station Controller,Rahul Sethi,40048
Hemant Bansal,50237,Station Controller,Rahul Sethi,40048
Chetan Arora,50238,Station Controller,Rahul Sethi,40048
Priya Goel,50239,Station Controller,Rahul Sethi,40048
Naveen Sinha,50240,Station Controller,Rahul Sethi,40048
Harish Mathur,50241,Station Controller,Amrita Mittal,40049
Nisha Dubey,50242,Station Controller,Amrita Mittal,40049
Ramesh Shukla,50243,Station Controller,Amrita Mittal,40049
Ankit Iyer,50244,Station Controller,Amrita Mittal,40049
Deepika Arora,50245,Station Controller,Amrita Mittal,40049
Bhavna Khanna,50246,Station Controller,Arnav Mathur,40050
Lakshmi Srivastava,50247,Station Controller,Arnav Mathur,40050
Sandeep Goel,50248,Station Controller,Arnav Mathur,40050
Kavita Rana,50249,Station Controller,Arnav Mathur,40050
Harish Kapoor,50250,Station Controller,Arnav Mathur,40050
Tanmay Singh,50251,Station Controller,Vivek Dwivedi,40051
Arnav Kapoor,50252,Station Controller,Vivek Dwivedi,40051
Rajesh Bansal,50253,Station Controller,Vivek Dwivedi,40051
Sameer Pandey,50254,Station Controller,Vivek Dwivedi,40051
Nisha Menon,50255,Station Controller,Vivek Dwivedi,40051
Sonal Chopra,50256,Station Controller,Bharat Rastogi,40052
Vikram Rana,50257,Station Controller,Bharat Rastogi,40052
Amit Rastogi,50258,Station Controller,Bharat Rastogi,40052
Abhishek Tiwari,50259,Station Controller,Bharat Rastogi,40052
Mohit Gupta,50260,Station Controller,Bharat Rastogi,40052
Isha Goel,50261,Station Controller,Amrita Jain,40053
Arpita Arora,50262,Station Controller,Amrita Jain,40053
Prakash Chauhan,50263,Station Controller,Amrita Jain,40053
Sameer Agarwal,50264,Station Controller,Amrita Jain,40053
Aniket Tiwari,50265,Station Controller,Amrita Jain,40053
Sunil Saxena,50266,Station Controller,Neha Chauhan,40054
Aditya Goyal,50267,Station Controller,Neha Chauhan,40054
Akash Joshi,50268,Station Controller,Neha Chauhan,40054
Deepak Verma,50269,Station Controller,Neha Chauhan,40054
Rakesh Agarwal,50270,Station Controller,Neha Chauhan,40054
Gaurav Saxena,50271,Station Controller,Amit Pandey,40055
Dhruv Srivastava,50272,Station Controller,Amit Pandey,40055
Sonal Yadav,50273,Station Controller,Amit Pandey,40055
Payal Rastogi,50274,Station Controller,Amit Pandey,40055
Pradeep Mishra,50275,Station Controller,Amit Pandey,40055
Isha Dubey,50276,Station Controller,Shreya Tripathi,40056
Ramesh Malhotra,50277,Station Controller,Shreya Tripathi,40056
Prakash Dwivedi,50278,Station Controller,Shreya Tripathi,40056
Monika Mehta,50279,Station Controller,Shreya Tripathi,40056
Aditya Khanna,50280,Station Controller,Shreya Tripathi,40056
Sunil Chauhan,50281,Station Controller,Jatin Kashyap,40057
Dev Jain,50282,Station Controller,Jatin Kashyap,40057
Sourabh Sethi,50283,Station Controller,Jatin Kashyap,40057
Neha Kashyap,50284,Station Controller,Jatin Kashyap,40057
Varun Sethi,50285,Station Controller,Jatin Kashyap,40057
Aditya Tiwari,50286,Station Controller,Pooja Rana,40058
Aniket Kashyap,50287,Station Controller,Pooja Rana,40058
Arjun Srivastava,50288,Station Controller,Pooja Rana,40058
Aditya Bhatia,50289,Station Controller,Pooja Rana,40058
Neeraj Kumar,50290,Station Controller,Pooja Rana,40058
